[2026-07-10 00:27:21] iteration       10/     220 | consumed samples:         5120 | elapsed time per iteration (ms): 28741.9 | learning rate: 8.000000E-05 | global batch size:   512 | lm loss: 2.474447E+01 | loss scale: 1.0 | grad norm: 23.195 | num zeros: 0 | number of skipped iterations:   0 | number of nan iterations:   0 |
[2026-07-10 00:31:35] iteration       20/     220 | consumed samples:        10240 | elapsed time per iteration (ms): 25385.8 | learning rate: 1.600000E-04 | global batch size:   512 | lm loss: 1.370128E+01 | loss scale: 1.0 | grad norm: 62.115 | num zeros: 0 | number of skipped iterations:   0 | number of nan iterations:   0 |
[2026-07-10 00:36:10] iteration       30/     220 | consumed samples:        15360 | elapsed time per iteration (ms): 27496.8 | learning rate: 2.400000E-04 | global batch size:   512 | lm loss: 9.666187E+00 | loss scale: 1.0 | grad norm: 28.928 | num zeros: 0 | number of skipped iterations:   0 | number of nan iterations:   0 |
[2026-07-10 00:40:22] iteration       40/     220 | consumed samples:        20480 | elapsed time per iteration (ms): 25189.9 | learning rate: 3.200000E-04 | global batch size:   512 | lm loss: 8.338055E+00 | loss scale: 1.0 | grad norm: 12.880 | num zeros: 0 | number of skipped iterations:   0 | number of nan iterations:   0 |
[2026-07-10 00:43:27] iteration       50/     220 | consumed samples:        25600 | elapsed time per iteration (ms): 18502.4 | learning rate: 4.000000E-04 | global batch size:   512 | lm loss: 9.803550E+00 | loss scale: 1.0 | grad norm: 8.245 | num zeros: 0 | number of skipped iterations:   0 | number of nan iterations:   0 |
[2026-07-10 00:45:56] iteration       60/     220 | consumed samples:        30720 | elapsed time per iteration (ms): 14893.9 | learning rate: 4.000000E-04 | global batch size:   512 | lm loss: 9.656133E+00 | loss scale: 1.0 | grad norm: 6.559 | num zeros: 0 | number of skipped iterations:   0 | number of nan iterations:   0 |
[2026-07-10 00:48:57] iteration       70/     220 | consumed samples:        35840 | elapsed time per iteration (ms): 18109.7 | learning rate: 4.000000E-04 | global batch size:   512 | lm loss: 1.327935E+01 | loss scale: 1.0 | grad norm: 2.491 | num zeros: 0 | number of skipped iterations:   0 | number of nan iterations:   0 |
[2026-07-10 00:51:25] iteration       80/     220 | consumed samples:        40960 | elapsed time per iteration (ms): 14828.5 | learning rate: 3.999999E-04 | global batch size:   512 | lm loss: 9.614758E+00 | loss scale: 1.0 | grad norm: 1.484 | num zeros: 0 | number of skipped iterations:   0 | number of nan iterations:   0 |
[2026-07-10 00:54:22] iteration       90/     220 | consumed samples:        46080 | elapsed time per iteration (ms): 17708.3 | learning rate: 3.999998E-04 | global batch size:   512 | lm loss: 9.079585E+00 | loss scale: 1.0 | grad norm: 1.185 | num zeros: 0 | number of skipped iterations:   0 | number of nan iterations:   0 |
[2026-07-10 00:56:51] iteration      100/     220 | consumed samples:        51200 | elapsed time per iteration (ms): 14864.9 | learning rate: 3.999998E-04 | global batch size:   512 | lm loss: 8.196837E+00 | loss scale: 1.0 | grad norm: 0.913 | num zeros: 0 | number of skipped iterations:   0 | number of nan iterations:   0 |
[2026-07-10 00:59:47] iteration      110/     220 | consumed samples:        56320 | elapsed time per iteration (ms): 17581.7 | learning rate: 3.999997E-04 | global batch size:   512 | lm loss: 9.046773E+00 | loss scale: 1.0 | grad norm: 1.068 | num zeros: 0 | number of skipped iterations:   0 | number of nan iterations:   0 |
[2026-07-10 01:02:15] iteration      120/     220 | consumed samples:        61440 | elapsed time per iteration (ms): 14824.3 | learning rate: 3.999996E-04 | global batch size:   512 | lm loss: 8.128933E+00 | loss scale: 1.0 | grad norm: 0.760 | num zeros: 0 | number of skipped iterations:   0 | number of nan iterations:   0 |
[2026-07-10 01:05:13] iteration      130/     220 | consumed samples:        66560 | elapsed time per iteration (ms): 17791.9 | learning rate: 3.999994E-04 | global batch size:   512 | lm loss: 8.150413E+00 | loss scale: 1.0 | grad norm: 0.588 | num zeros: 0 | number of skipped iterations:   0 | number of nan iterations:   0 |
[2026-07-10 01:07:41] iteration      140/     220 | consumed samples:        71680 | elapsed time per iteration (ms): 14825.4 | learning rate: 3.999993E-04 | global batch size:   512 | lm loss: 7.782392E+00 | loss scale: 1.0 | grad norm: 0.414 | num zeros: 0 | number of skipped iterations:   0 | number of nan iterations:   0 |
[2026-07-10 01:10:38] iteration      150/     220 | consumed samples:        76800 | elapsed time per iteration (ms): 17646.1 | learning rate: 3.999991E-04 | global batch size:   512 | lm loss: 7.864835E+00 | loss scale: 1.0 | grad norm: 0.514 | num zeros: 0 | number of skipped iterations:   0 | number of nan iterations:   0 |
